objectid,gdb_geomattr_data,shape,nome_if,satatus,data_inicio,data_fim,bioma,uf,municipio,dominio,globalid,data_primeiro,created_user,created_date,last_edited_user,last_edited_date,operacao,nivel,tipo_area,regiao,responsavel,local,obs,x,y,amazonia_legal,bioma_ibge,regiao_ibge,uf_ibge,municipio_ibge
64896,,01010000A0110F00008E53743C2FD053C178E9263960A141C10000000000000000,Incêndio Parna da Serra da Canastra,extinto,2024-09-30 03:00:00,2024-10-01 00:00:00,cerrado,MG,,federal,{B32FFB14-B280-4F8D-973A-5BD81E6FD38C},2024-09-30 03:00:00,leticia.couto,2024-10-01 12:27:20,pedro.pires,2024-10-03 22:43:43,brasil,1,ucf,,,,,,,,Cerrado,Sudeste,MG,Delfinópolis
34503,,01010000A0110F0000C2172607215956C1504013D9013746C10000000000000000,PR008,extinto,2024-09-09 00:00:00,2024-09-11 00:00:00,mata_atl,PR,"Nova Laranjeiras
",federal,{D5E23A06-BB97-4F2C-B0AB-E425B68C51F0},2024-09-09 00:00:00,leandro.bruno,2024-09-11 15:03:09,pedro.pires,2024-10-03 22:43:43,brasil,1,ti,sul,prevfogo,"TI RIO DAS COBRAS
",,"052° 36' 7.94"" W","25° 17' 29.01"" S",,Mata Atlântica,Sul,PR,Nova Laranjeiras
34504,,01010000A0110F0000605452AB685656C180D0B321AD3646C10000000000000000,PR009,extinto,2024-09-08 00:00:00,2024-09-11 00:00:00,mata_atl,PR,Nova Laranjeiras,federal,{2FE7D309-117E-495E-A4E5-37657EEAE912},2024-09-11 00:00:00,leandro.bruno,2024-09-11 15:06:55,pedro.pires,2024-10-03 22:43:43,brasil,1,ti,sul,prevfogo,"TI RIO DAS COBRAS
",,"069° 07' 38.9"" W","08° 51' 57.06"" S",,Mata Atlântica,Sul,PR,Nova Laranjeiras
86895,,01010000A0110F0000F01648C8010D5DC1C0E53F8474062FC10000000000000000,AM067_,extinto,2024-10-07 00:00:00,2024-11-12 00:00:00,,,,federal,{BCF527DE-305F-4157-9F1B-365FD611736F},2024-10-07 00:00:00,quaresma,2024-10-09 14:39:24,luiz.guilherme.gomes,2024-11-12 17:41:27,brasil,1,pa,,prevfogo,"BR 364 KM 15 SENA MADUREIRA/RIO BRANCO , RAMAL DO CASSIRIAN",,-9.09415386766989,-68.4111567089061,AM_Legal,Amazônia,Norte,AM,Boca do Acre
76096,,01010000A0110F00000AD7A3B407ED52C130F697CDF4A839C10000000000000000,Incêndio APA Cavernas do Peruaçu,extinto,2024-10-03 00:00:00,2024-10-03 00:00:00,,,,,{BA875FE6-1E16-408F-9D09-200DCFFCDD72},2024-10-03 00:00:00,leticia.couto,2024-10-04 14:27:36,leticia.couto,2024-10-04 14:27:36,brasil,,,,,,,-14.934501298131048,-44.568213411045065,,Cerrado,Sudeste,MG,Cônego Marinho
80095,,01010000A0110F000052B81E4DA37D5DC110D7A3D0435332C10000000000000000,AC144,extinto,2024-10-05 00:00:00,2024-10-30 00:00:00,,,,federal,{8EDD9459-2BEF-4B34-862F-81CBA0EC9558},2024-10-05 00:00:00,pedro.pires,2024-10-06 17:01:37,jade.oliveira,2024-10-30 11:09:28,brasil,1,publico_f,,prevfogo,RESEX CHICO MENDES km 84 *STATUS:*ATIVO EM CONBATE,,-10.725250891845869,-69.44722033756815,AM_Legal,Amazônia,Norte,AC,Assis Brasil
75299,,01010000A0110F00004872F9D3762253C160DC4613031A38C10000000000000000,Incêndio Revis das Veredas do Oeste Baiano,extinto,2024-10-02 00:00:00,,,,,,{37D6296A-223A-41A9-BCB1-F0F3F71F11D3},2024-10-03 00:00:00,leticia.couto,2024-10-03 20:17:45,leticia.couto,2024-10-07 21:28:14,brasil,,,,,,,-14.046248701177632,-45.059740000000005,,Cerrado,Nordeste,BA,Jaborandi
36499,,01010000A0110F0000925CFE83895456C160764FDE6A3A46C10000000000000000,PR010,extinto,2024-09-11 00:00:00,2024-09-12 00:00:00,mata_atl,PR,Nova Laranjeiras,federal,{3F73153E-7CE2-40DA-B2F9-5CAD4F8D8F2F},2024-09-11 00:00:00,leandro.bruno,2024-09-12 17:15:24,pedro.pires,2024-10-03 22:43:43,brasil,1,ti,sul,prevfogo,TI RIO DAS COBRAS,,"053° 11' 49.8"" W","12° 23' 13.3"" S",,Mata Atlântica,Sul,PR,Nova Laranjeiras
86896,,01010000A0110F000076029A2054175DC160EC2F5B562D2FC10000000000000000,AC147,extinto,2024-10-07 00:00:00,2024-10-29 00:00:00,,,,federal,{7A8AF392-839B-4339-A107-0DCFDAACDDFA},2024-10-07 00:00:00,quaresma,2024-10-09 14:45:10,jade.oliveira,2024-10-29 18:26:09,brasil,1,pa,,prevfogo,"BR 364 KM 15 SENA MADUREIRA/RIO BRANCO , RAMAL DO CASSIRIAN",,-9.138297584497149,-68.50610306448397,AM_Legal,Amazônia,Norte,AC,Sena Madureira
31304,,01010000A0110F0000E2E995A6FBAA5BC1F0285CFFF54F30C10000000000000000,Incêndio Parna Mapinguari,extinto,2024-07-20 03:00:00,2024-07-21 03:00:00,amazoni,RO,,federal,{CE7B1393-D860-4AF3-A18F-F285E65D43A7},,leticia.couto,2024-09-09 19:05:51,pedro.pires,2024-10-03 22:43:43,brasil,,ucf,,,,,"047° 54' 9.92"" W","15° 38' 22.23"" S",AM_Legal,Amazônia,Norte,RO,Porto Velho
